SN;Z;BMAX;D_M15_B
90O;0.030;16.320;0.96
90T;0.040;17.160;1.15
90Y;0.039;17.700;1.13
90af;0.050;17.870;1.56
91S;0.056;17.810;1.04
91U;0.033;16.400;1.06
91ag;0.014;14.620;0.87
92J;0.046;17.700;1.56
92P;0.026;16.080;0.87
92ae;0.075;18.620;1.28
92ag;0.026;16.410;1.19
92al;0.014;14.600;1.11
92aq;0.101;19.450;1.46
92au;0.061;18.210;1.49
92bc;0.020;15.160;0.87
92bg;0.036;16.720;1.15
92bh;0.045;17.700;1.05
92bk;0.058;18.110;1.57
92bl;0.043;17.360;1.51
92bo;0.018;15.860;1.69
92bp;0.079;18.410;1.32
92br;0.088;19.380;1.69
92bs;0.063;18.370;1.13
93B;0.071;18.530;1.04
93H;0.025;16.840;1.69
93O;0.052;17.670;1.22
93ag;0.050;17.720;1.32
93ah;0.029;16.330;1.30
